iter	Passed	Remaining
750	45252	15003
751	45310	14942
752	45366	14881
753	45433	14823
754	45495	14763
755	45552	14702
756	45609	14640
757	45673	14581
758	45735	14522
759	45794	14461
760	45856	14401
761	45918	14342
762	45975	14280
763	46038	14221
764	46099	14161
765	46152	14098
766	46215	14039
767	46265	13975
768	46328	13916
769	46385	13855
770	46446	13795
771	46503	13734
772	46565	13674
773	46624	13613
774	46689	13555
775	46748	13494
776	46808	13434
777	46869	13374
778	46931	13314
779	46989	13253
780	47048	13192
781	47106	13132
782	47185	13076
783	47240	13015
784	47304	12956
785	47360	12894
786	47421	12834
787	47481	12774
788	47534	12711
789	47591	12651
790	47646	12589
791	47706	12528
792	47762	12467
793	47814	12405
794	47878	12346
795	47939	12286
796	48000	12226
797	48060	12165
798	48120	12105
799	48177	12044
800	48237	11983
801	48295	11923
802	48350	11861
803	48411	11801
804	48472	11741
805	48528	11680
806	48586	11619
807	48646	11559
808	48703	11498
809	48763	11438
810	48823	11378
811	48875	11315
812	48938	11256
813	49002	11197
814	49067	11137
815	49127	11077
816	49186	11017
817	49239	10955
818	49302	10895
819	49356	10834
820	49414	10773
821	49465	10711
822	49520	10650
823	49584	10590
824	49648	10531
825	49706	10470
826	49769	10411
827	49829	10351
828	49888	10290
829	49949	10230
830	50021	10172
831	50074	10111
832	50132	10050
833	50194	9990
834	50257	9931
835	50314	9870
836	50370	9809
837	50429	9748
838	50492	9689
839	50555	9629
840	50614	9569
841	50675	9509
842	50735	9448
843	50794	9388
844	50854	9328
845	50908	9267
846	50974	9207
847	51032	9147
848	51090	9086
849	51148	9026
850	51205	8965
851	51269	8905
852	51364	8851
853	51422	8791
854	51483	8731
855	51546	8671
856	51600	8610
857	51658	8549
858	51713	8488
859	51764	8426
860	51835	8368
861	51892	8307
862	51952	8247
863	52025	8189
864	52100	8131
865	52159	8070
866	52216	8010
867	52272	7949
868	52329	7888
869	52396	7829
870	52455	7768
871	52526	7710
872	52600	7652
873	52655	7591
874	52714	7530
875	52771	7469
876	52824	7408
877	52881	7348
878	52939	7287
879	52989	7225
880	53055	7166
881	53115	7106
882	53179	7046
883	53238	6985
884	53312	6927
885	53374	6867
886	53434	6807
887	53496	6747
888	53559	6687
889	53619	6627
890	53678	6566
891	53737	6506
892	53799	6446
893	53866	6386
894	53931	6327
895	53999	6267
896	54057	6207
897	54114	6146
898	54169	6085
899	54226	6025
900	54309	5967
901	54417	5912
902	54476	5851
903	54528	5790
904	54589	5730
905	54645	5669
906	54700	5608
907	54752	5547
908	54818	5487
909	54883	5428
910	54939	5367
911	54995	5306
912	55055	5246
913	55105	5184
914	55159	5124
915	55214	5063
916	55270	5002
917	55326	4942
918	55382	4881
919	55470	4823
920	55532	4763
921	55594	4703
922	55648	4642
923	55708	4582
924	55768	4521
925	55826	4461
926	55888	4401
927	55962	4341
928	56028	4282
929	56090	4221
930	56153	4161
931	56209	4101
932	56269	4040
933	56330	3980
934	56390	3920
935	56455	3860
936	56516	3799
937	56578	3739
938	56649	3680
939	56709	3619
940	56790	3560
941	56849	3500
942	56903	3439
943	56957	3378
944	57020	3318
945	57082	3258
946	57141	3197
947	57207	3137
948	57269	3077
949	57323	3017
950	57385	2956
951	57460	2897
952	57543	2837
953	57627	2778
954	57684	2718
955	57743	2657
956	57801	2597
957	57860	2536
958	57917	2476
959	57965	2415
960	58025	2354
961	58085	2294
962	58160	2234
963	58219	2174
964	58279	2113
965	58336	2053
966	58397	1992
967	58456	1932
968	58513	1871
969	58570	1811
970	58626	1750
971	58679	1690
972	58734	1629
973	58789	1569
974	58847	1508
975	58905	1448
976	58963	1388
977	59020	1327
978	59077	1267
979	59131	1206
980	59190	1146
981	59248	1086
982	59310	1025
983	59360	965
984	59419	904
985	59478	844
986	59533	784
987	59583	723
988	59642	663
989	59699	603
990	59759	542
991	59810	482
992	59873	422
993	59929	361
994	59981	301
995	60036	241
996	60094	180
997	60158	120
998	60222	60
999	60283	0
